供应商,年份,项目数,供货金额,项目数环比%,金额环比%
中国石化武汉石油(集团)股,2018,110,134493.93,,
中国石化武汉石油(集团)股,2019,197,170646.9,79.0909090909091,26.88074472952051
中国石化武汉石油(集团)股,2020,333,186958.62,69.03553299492386,9.55875553555324
中国石化武汉石油(集团)股,2021,197,197678.23,-40.84084084084084,5.733680533157559
中国石化武汉石油(集团)股,2022,220,344353.9,11.6751269035533,74.19920241090787
中国石化武汉石油(集团)股,2023,300,295433.65,36.36363636363637,-14.206387672682085
中国石化武汉石油(集团)股,2024,204,289015.84,-32.0,-2.1723354804031287
中国石化武汉石油(集团)股,2025,181,231455.36,-11.27450980392157,-19.916029515890905
柳辉,2018,52,51096.2,,
柳辉,2019,135,77466.88,159.6153846153846,51.60986531288043
柳辉,2020,51,58267.130000000005,-62.22222222222222,-24.784462727813487
柳辉,2021,38,28739.0,-25.49019607843137,-50.677165667847376
柳辉,2022,32,21133.0,-15.789473684210526,-26.465778210793694
柳辉,2023,47,19903.5,46.875,-5.817915109071121
柳辉,2024,19,12830.0,-59.57446808510638,-35.53897555706283
柳辉,2025,19,34836.55,0.0,171.5241621200312
武汉伊莎蕾服装有限公司,2018,41,116096.0,,
武汉伊莎蕾服装有限公司,2019,57,202145.0,39.02439024390244,74.11883269018743
武汉伊莎蕾服装有限公司,2020,47,280785.0,-17.543859649122805,38.90276781518217
武汉伊莎蕾服装有限公司,2021,72,280870.0,53.191489361702125,0.030272272379222538
武汉伊莎蕾服装有限公司,2022,37,176770.0,-48.61111111111111,-37.063410118560185
武汉伊莎蕾服装有限公司,2023,35,110582.0,-5.405405405405405,-37.44300503479097
武汉伊莎蕾服装有限公司,2024,39,115659.0,11.428571428571429,4.59116311877159
武汉伊莎蕾服装有限公司,2025,45,108335.0,15.384615384615385,-6.332408199967145
武汉兴韵贸易有限公司,2025,258,181404.0,,
武汉医药集团平安医疗经营,2023,14,0.0,,
武汉同济美迪生科技有限公,2018,18,29808.0,,
武汉同济美迪生科技有限公,2019,16,33588.0,-11.11111111111111,12.681159420289855
武汉同济美迪生科技有限公,2020,13,43380.0,-18.75,29.153269024651664
武汉同济美迪生科技有限公,2021,12,35100.0,-7.6923076923076925,-19.08713692946058
武汉同济美迪生科技有限公,2022,14,49680.0,16.666666666666664,41.53846153846154
武汉同济美迪生科技有限公,2023,9,33120.0,-35.714285714285715,-33.33333333333333
武汉同济美迪生科技有限公,2024,8,48960.0,-11.11111111111111,47.82608695652174
武汉同济美迪生科技有限公,2025,13,47520.0,62.5,-2.941176470588235
武汉市大石科贸有限公司,2018,122,244850.0,,
武汉市大石科贸有限公司,2025,122,618388.0,0.0,152.55789258729834
武汉市平安兴业科技有限公,2018,828,338707.1,,
武汉市平安兴业科技有限公,2019,879,380581.31,6.159420289855073,12.362956076208626
武汉市平安兴业科技有限公,2020,679,431225.4,-22.753128555176335,13.307035492625749
武汉市平安兴业科技有限公,2021,965,492937.6,42.12076583210604,14.310891705358717
武汉市平安兴业科技有限公,2022,947,495504.5,-1.865284974093264,0.5207352817070606
武汉市平安兴业科技有限公,2023,856,509947.3,-9.609292502639915,2.9147666671039287
武汉市平安兴业科技有限公,2024,746,541847.4,-12.850467289719624,6.255567977318448
武汉市平安兴业科技有限公,2025,520,438645.9,-30.29490616621984,-19.046229621107344
武汉市思尔康医疗器械有限,2018,29,52737.0,,
武汉市思尔康医疗器械有限,2019,26,70116.0,-10.344827586206897,32.95409295181751
武汉市思尔康医疗器械有限,2020,4,19375.0,-84.61538461538461,-72.36722003536997
武汉市思尔康医疗器械有限,2021,1,12250.0,-75.0,-36.774193548387096
武汉市思尔康医疗器械有限,2023,1,3500.0,0.0,-71.42857142857143
武汉市思尔康医疗器械有限,2024,2,14000.0,100.0,300.0
武汉市思尔康医疗器械有限,2025,1,8750.0,-50.0,-37.5
武汉市新饰旅游纺织制品有,2018,8,3950.0,,
武汉市新饰旅游纺织制品有,2019,30,78233.0,275.0,1880.5822784810125
武汉市新饰旅游纺织制品有,2020,23,97796.0,-23.333333333333332,25.00607160661102
武汉市新饰旅游纺织制品有,2021,27,87057.0,17.391304347826086,-10.9810217186797
武汉市新饰旅游纺织制品有,2022,19,88673.0,-29.629629629629626,1.8562550972351446
武汉市新饰旅游纺织制品有,2023,9,21952.0,-52.63157894736842,-75.24387355790377
武汉市新饰旅游纺织制品有,2024,5,8716.0,-44.44444444444444,-60.295189504373184
武汉市楚天鸿大科技有限公,2018,64,38730.0,,
武汉市楚天鸿大科技有限公,2019,81,42457.0,26.5625,9.623031241931319
武汉市楚天鸿大科技有限公,2020,28,11150.0,-65.4320987654321,-73.73813505429023
武汉市楚天鸿大科技有限公,2021,1,850.0,-96.42857142857143,-92.37668161434978
武汉市楚天鸿大科技有限公,2022,1,850.0,0.0,0.0
武汉市楚天鸿大科技有限公,2023,26,18619.0,2500.0,2090.470588235294
武汉市楚天鸿大科技有限公,2024,22,11239.0,-15.384615384615385,-39.636930017723834
武汉市江汉区大众窗帘布艺,2018,133,47280.97,,
武汉市江汉区大众窗帘布艺,2019,150,76033.1,12.781954887218044,60.811210091501934
武汉市江汉区大众窗帘布艺,2020,114,64755.04,-24.0,-14.833092429481376
武汉市江汉区大众窗帘布艺,2021,158,65513.57,38.59649122807017,1.1713837254984305
武汉市江汉区大众窗帘布艺,2022,188,98758.8,18.9873417721519,50.7455630947909
武汉市江汉区大众窗帘布艺,2023,192,62542.3,2.127659574468085,-36.671668752556734
武汉市江汉区大众窗帘布艺,2024,157,71496.0,-18.229166666666664,14.316230775011467
武汉市江汉区大众窗帘布艺,2025,161,87956.5,2.547770700636943,23.022966319794115
武汉市江汉区正扬电脑经营,2020,8,0.0,,
武汉市江汉区正焱五金店,2018,908,219965.71,,
武汉市江汉区正焱五金店,2019,1349,341989.76,48.56828193832599,55.47412367136679
武汉市江汉区正焱五金店,2020,1429,640751.6,5.930318754633062,87.35987884549525
武汉市江汉区正焱五金店,2021,1717,791371.39,20.153953813855843,23.506736463865256
武汉市江汉区正焱五金店,2022,1979,629386.8,15.25917297612114,-20.4688458600961
武汉市江汉区正焱五金店,2023,1852,560171.15,-6.417382516422436,-10.99731516453793
武汉市江汉区正焱五金店,2024,1914,679348.5,3.3477321814254863,21.275167419814455
武汉市江汉区正焱五金店,2025,1837,735392.8,-4.022988505747127,8.249712776284932
武汉市洪山区上启电子产品,2019,135,342025.0,,
武汉市洪山区上启电子产品,2020,90,310589.0,-33.33333333333333,-9.191140998465025
武汉市洪山区上启电子产品,2021,91,366385.0,1.1111111111111112,17.964576981155158
武汉市洪山区上启电子产品,2022,108,388672.0,18.681318681318682,6.082945535434038
武汉市洪山区上启电子产品,2023,81,443512.0,-25.0,14.109583401943027
武汉市洪山区上启电子产品,2024,109,530001.0,34.5679012345679,19.50093796785656
武汉市硚口区烨联塑料制品,2018,13,60679.5,,
武汉市硚口区烨联塑料制品,2019,12,70774.0,-7.6923076923076925,16.635766609810563
武汉市硚口区烨联塑料制品,2020,10,57858.5,-16.666666666666664,-18.248933224065333
武汉市硚口区烨联塑料制品,2021,9,58672.0,-10.0,1.4060164020843955
武汉市硚口区烨联塑料制品,2022,8,55630.0,-11.11111111111111,-5.184755931278975
武汉市硚口区烨联塑料制品,2023,15,87494.0,87.5,57.27844688117922
武汉市硚口区烨联塑料制品,2024,13,70352.0,-13.333333333333334,-19.592200608041693
武汉市硚口区烨联塑料制品,2025,9,56919.5,-30.76923076923077,-19.09327382306118
武汉敏通世纪科技有限公司,2018,453,363049.0,,
武汉敏通世纪科技有限公司,2019,457,342831.0,0.8830022075055187,-5.568945238796967
武汉敏通世纪科技有限公司,2020,400,351624.9,-12.472647702407002,2.565083087585435
武汉敏通世纪科技有限公司,2021,485,444512.1,21.25,26.41655923684584
武汉敏通世纪科技有限公司,2022,503,477842.0,3.711340206185567,7.498086103842848
武汉敏通世纪科技有限公司,2023,572,674568.0,13.717693836978132,41.16967533201351
武汉敏通世纪科技有限公司,2024,387,667394.0,-32.34265734265735,-1.0634954519040334
武汉敏通世纪科技有限公司,2025,357,523483.0,-7.751937984496124,-21.56312463102755
武汉文亨利达贸易发展有限,2019,18,5845.0,,
武汉新卫印刷有限公司,2018,617,570176.9,,
武汉新卫印刷有限公司,2019,747,604317.52,21.06969205834684,5.987724160694689
武汉新卫印刷有限公司,2020,590,468852.9,-21.01740294511379,-22.41613316125602
武汉新卫印刷有限公司,2021,775,484360.7,31.35593220338983,3.307604581308975
武汉新卫印刷有限公司,2022,585,477759.47,-24.516129032258064,-1.3628748162268407
武汉新卫印刷有限公司,2023,632,516026.2,8.034188034188034,8.0096224989533
武汉新卫印刷有限公司,2024,623,563665.86,-1.4240506329113924,9.232023490280138
武汉新卫印刷有限公司,2025,678,617515.6,8.828250401284109,9.553486173528409
武汉航亿达环保科技有限公,2025,5,21414.0,,
武汉麦迪生医疗器材有限公,2023,2,0.0,,
武汉麦迪生医疗器材有限公,2024,2,0.0,0.0,
